country,sattype,satpurpose,satid
USA,Commercial,Earth Observation,44859
United Kingdom,Commercial,Earth Observation,55107
Finland,Civil,Technology Development,42775
Denmark,Civil,Earth Observation,41460
Multinational,Commercial,Communications,39508
Multinational,Commercial,Communications,41588
Multinational,Commercial,Communications,40424
Multinational,Commercial,Communications,28184
Multinational,Commercial,Communications,25924
Israel,Government,Technology Development,47937
Israel,Government,Technology Development,47939
Israel,Government,Technology Development,47943
Austria,Civil,Earth Science,56187
USA,Military,Earth Observation,47237
USA,Military,Earth Observation,25336
USA,Military,Earth Observation,27937
USA,Military,Earth Observation,33490
USA,Military,Earth Observation,37232
USA,Military,Earth Observation,38528
USA,Military,Earth Observation,41584
USA,Military,Communications,39256
USA,Military,Communications,43651
USA,Military,Communications,44481
USA,Military,Communications,45465
USA,Military,Communications,38254
USA,Government,Technology Development,38760
ESA,Government,Earth Observation,43600
USA,Commercial,Technology Development,43861
USA,Commercial,Technology Development,43849
USA,Commercial,Technology Development,43556
USA,Commercial,Technology Development,43557
USA,Military,Technology Development,45114
USA,Military,Technology Development,45116
USA,Military,Technology Development,45117
USA,Commercial,Technology Development,40965
USA,Commercial,Technology Development,40045
USA,Commercial,Technology Development,40046
USA,Commercial,Technology Development,40966
USA,Commercial,Technology Development,41853
USA,Commercial,Technology Development,41852
Multinational,Commercial,Communications,33460
Lithuania,Commercial,Communications,48270
Lithuania,Commercial,Communications,47440
USA,Government,Earth Observation,31304
Norway,Government,Communications,36797
Norway,Government,Communications,40075
Spain,Commercial,Earth Observation,43768
Spain,Commercial,Earth Observation,44103
United Arab Emirates,Commercial,Communications,43174
Kazakhstan,Civil,Technology Development,43805
Algeria,Government,Communications,43039
Japan,Commercial,Earth Science,44824
Brazil,Civil,Technology Development,52160
USA,Military,Technology Development,39467
Algeria,Government,Earth Observation,41785
Algeria,Government,Technology Development,41789
Algeria,Government,Earth Observation,36798
Algeria,Government,Earth Observation,41786
Spain,Commercial,Communications,35942
Spain,Commercial,Communications,39078
Spain,Commercial,Communications,39616
Spain,Commercial,Communications,42934
Spain,Commercial,Communications,55508
Brazil,Government,Earth Observation,47699
USA,Commercial,Communications,28252
USA,Commercial,Communications,28446
USA,Commercial,Communications,29644
USA,Commercial,Communications,33275
USA,Commercial,Communications,26580
Russia,Civil,Space Science,44394
Israel,Military/Commercial,Communications,44479
Israel,Military/Commercial,Communications,32794
Israel,Military/Commercial,Communications,39237
USA,Civil,Communications,7530
South Korea,Military,Communications,45920
USA,Civil,Space Science/Technology Demonstration,45726
ESA,Government,Communications,44876
Angola,Government,Communications,54033
Canada,Commercial,Communications,26624
Canada,Commercial,Communications,28868
Canada,Commercial,Communications,28378
Canada,Commercial,Communications,31102
Canada,Commercial,Communications,39127
Argentina,Commercial,Communications/Technology Development,28372
USA/Argentina,Commercial,Communications/Maritime Tracking,40019
USA/Argentina,Commercial,Communications/Technology Development,28366
USA/Argentina,Commercial,Communications/Maritime Tracking,35686
USA/Argentina,Commercial,Communications/Maritime Tracking,35684
Canada,Commercial,Communications,37792
Canada,Commercial,Communications,39416
USA/Argentina,Commercial,Communications/Maritime Tracking,39425
USA,Commercial,Communications/Maritime Tracking,40018
China,Commercial,Communications,43450
China,Commercial,Communications,45863
China,Commercial,Communications,55239
China,Commercial,Communications,38107
China,Commercial,Communications,40982
Multinational,Government,Communications,37810
Multinational,Commercial,Communications,44186
USA,Civil,Technology Development,47484
USA,Civil,Technology Development,47615
USA,Civil,Technology Development,47616
Norway,Military,Technology Demonstration,52161
Japan,Civil,Technology Development,49403
Russia,Government,Earth Observation,47719
USA,Commercial,Technology Development,43130
Argentina,Commercial,Communications,40272
Argentina,Commercial,Communications,40941
Belgium,Commercial,Earth Observation,48953
Turkey,Civil,Earth Observation,47441
China,Commercial,Communications,35696
China,Commercial,Communications,40141
China,Commercial,Communications,37933
China,Commercial,Communications,40107
China,Commercial,Communications,42942
USA,Commercial,Communications,26107
Japan,Government,Earth Observation,40298
Japan,Government,Earth Observation,43152
Japan,Civil,Technology Development,49397
Luxembourg,Commercial,Communications,25071
Luxembourg,Commercial,Communications,29055
Luxembourg,Commercial,Communications,31306
Luxembourg,Commercial,Communications,33436
Luxembourg,Commercial,Communications,37775
Luxembourg,Commercial,Communications,25462
Luxembourg,Commercial,Communications,26853
Luxembourg,Commercial,Communications,26638
Luxembourg,Commercial,Communications,39285
Luxembourg,Commercial,Communications,38778
Luxembourg,Commercial,Communications,40364
Luxembourg,Commercial,Communications,27400
Luxembourg,Commercial,Communications,36581
Luxembourg,Commercial,Communications,39617
USA,Commercial,Technology Development,43127
Switzerland,Commercial,Communications,47430
Switzerland,Commercial,Communications,47488
Switzerland,Commercial,Communications,47487
Switzerland,Commercial,Communications,47519
Switzerland,Commercial,Communications,47517
Switzerland,Commercial,Communications,48954
Switzerland,Commercial,Communications,48961
Switzerland,Commercial,Communications,48955
Switzerland,Commercial,Communications,48952
Switzerland,Commercial,Communications,48960
India,Government,Space Science,40930
USA,Commercial,Communications,44333
USA,Commercial,Communications,46275
France/Italy,Government/Military,Communications,39509
Singapore,Commercial,Technology Development,41168
Azerbaijan,Government,Communications,39079
Azerbaijan,Government,Communications,43632
Multinational,Government,Communications,29526
Multinational,Government,Communications,36592
Multinational,Government,Communications,36745
Multinational,Government,Communications,33154
Multinational,Government,Communications,41029
Bangladesh,Government,Communications,43463
China,Civil,Unknown,49814
Russia,Military,Earth Observation,40420
Russia,Military,Earth Observation,41394
Russia,Military,Earth Observation,52713
Russia,Military,Earth Observation,55978
USA,Military,Technology Demonstration,56171
USA,Military,Technology Demonstration,56170
Czech Republic,Government,Technology Demonstration,52175
Czech Republic,Civil,Communications,55098
Germany,Civil,Technology Demonstration,48083
Germany,Civil,Technology Demonstration,47957
Germany,Civil,Technology Demonstration,48084
Germany,Civil,Technology Demonstration,48085
Germany,Civil,Technology Development,44412
China,Military/Government,Navigation/Global Positioning,38250
China,Military/Government,Navigation/Global Positioning,38251
China,Military/Government,Navigation/Global Positioning,38775
China,Military/Government,Navigation/Global Positioning,38953
China,Military/Government,Navigation/Global Positioning,41434
China,Military/Government,Navigation/Global Positioning,41586
China,Military/Government,Navigation/Global Positioning,40549
China,Military/Government,Navigation/Global Positioning,40938
China,Military/Government,Navigation/Global Positioning,40748
China,Military/Government,Navigation/Global Positioning,40749
China,Military/Government,Navigation/Global Positioning,43001
China,Military/Government,Navigation/Global Positioning,44542
China,Military/Government,Navigation/Global Positioning,44543
China,Military/Government,Navigation/Global Positioning,43002
China,Military/Government,Navigation/Global Positioning,43107
China,Military/Government,Navigation/Global Positioning,43108
China,Military/Government,Navigation/Global Positioning,43207
China,Military/Government,Navigation/Global Positioning,43208
China,Military/Government,Navigation/Global Positioning,43246
China,Military/Government,Navigation/Global Positioning,43245
China,Military/Government,Navigation/Global Positioning,43539
China,Military/Government,Navigation/Global Positioning,43581
China,Military/Government,Navigation/Global Positioning,43582
China,Military/Government,Navigation/Global Positioning,43602
China,Military/Government,Navigation/Global Positioning,43603
China,Military/Government,Navigation/Global Positioning,43622
China,Military/Government,Navigation/Global Positioning,43623
China,Military/Government,Navigation/Global Positioning,43647
China,Military/Government,Navigation/Global Positioning,43648
China,Military/Government,Navigation/Global Positioning,43683
China,Military/Government,Navigation/Global Positioning,43706
China,Military/Government,Navigation/Global Positioning,43707
China,Military/Government,Navigation/Global Positioning,44204
China,Military/Government,Navigation/Global Positioning,44231
China,Military/Government,Navigation/Global Positioning,44337
China,Military/Government,Navigation/Global Positioning,44709
China,Military/Government,Navigation/Global Positioning,44793
China,Military/Government,Navigation/Global Positioning,44794
China,Military/Government,Navigation/Global Positioning,44864
China,Military/Government,Navigation/Global Positioning,44865
China,Military/Government,Navigation/Global Positioning,45807
China,Military/Government,Navigation/Global Positioning,45344
China,Military/Government,Navigation/Global Positioning,37210
China,Military/Government,Navigation/Global Positioning,38091
China,Military/Government,Navigation/Global Positioning,36828
China,Military/Government,Navigation/Global Positioning,37256
China,Military/Government,Navigation/Global Positioning,37384
China,Military/Government,Navigation/Global Positioning,37763
China,Military/Government,Navigation/Global Positioning,37948
China ,Commercial,Earth Observation,48840
China,Commercial,Earth Observation,28890
China,Commercial,Earth Observation,55257
Belarus,Government,Communications,41238
Germany,Government/Civil,Earth Observation/Technology Development,26959
Norway,Military,Earth Observation,55015
Germany,Government,Earth Observation,41604
USA,Civil,Earth Observation/Technology Development,40968
Belarus,Government,Earth Observation,38708
USA,Commercial,Earth Observation,43730
USA,Commercial,Earth Observation,49469
USA,Commercial,Earth Observation,49470
USA,Commercial,Earth Observation,49950
USA,Commercial,Earth Observation,49949
USA,Commercial,Earth Observation,52196
USA,Commercial,Earth Observation,55982
USA,Commercial,Earth Observation,43812
USA,Commercial,Earth Observation,52197
USA,Commercial,Earth Observation,44367
USA,Commercial,Earth Observation,44499
USA,Commercial,Earth Observation,55983
USA,Commercial,Earth Observation,46088
USA,Commercial,Earth Observation,46089
USA,Commercial,Earth Observation,47971
USA,Commercial,Earth Observation,41787
Russia,Military/Commercial,Communications,42907
Russia,Military/Commercial,Communications,43432
Russia,Military/Commercial,Communications,43867
Russia,Military/Commercial,Communications,44457
Lithuania,Commercial,Technology Development,44105
USA,Commercial,Communications,53808
Brazil,Commercial,Communications,26469
Netherlands,Government,Earth Observation,48876
USA,Commercial,Technology Development,43813
Indonesia,Commercial,Communications,41591
Canada,Civil,Space Science,40020
Multinational,Government,Space Science,40119
France,Commercial,Earth Observation,44495
